id,verse_text,label
0,with pale blue berries. in these peaceful shades--,1
1,"it flows so long as falls the rain,",2
2,"and that is why, the lonesome day,",0
3,"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3
4,of inward strife for truth and liberty.,3
5,the red sword sealed their vows!,3
6,and very venus of a pipe.,2
7,"who the man, who, called a brother.",2
8,"and so on. then a worthless gaud or two,",0
9,to hide the orb of truth--and every throne,2
10,the call's more urgent when he journeys slow.,2
11,with the _quart d'heure_ of rabelais!,2
12,"and match, and bend, and thorough-blend, in her colossal form and face.",2
13,have i played in different countries.,2
14,"tells us that the day is ended.""",2
15,and not alone by gold;,2
16,that has a charmingly bourbon air.,1
17,"sounded o'er earth and sea its blast of war,",0
18,chief poet on the tiber-side,2
19,"as under a sunbeam a cloud ascends,",2
20,"brightly expressive as the twins of leda,",1
21,"of night, and all things now retir'd to rest",2
22,in latmian fountains long ago.,2
23,in monumental pomp! no grecian drop,1
24,"and when they reached the house,",2
25,"then this old orchard, sloping to the west;",2
26,so prythee get thee gone.,2
27,the other dark-eyed dears,2
28,me honied paths forsake;,2
29,to that mysterious strand.,2
30,wid a song up on de way.,2
31,"her visions and those we have seen,--",2
32,he sat beside the governor and said grace;,2
33,fifty times the brahmins' offer deluged all the floor.,2
34,and what are all the prizes won,2
35,made snow of all the blossoms; at my feet,2
36,"he never told us what he was,",2
37,"want and woe, which torture us,",0
38,"a ruby, and a pearl, or so,",2
39,"an echo returned on the cold gray morn,",0
40,"he says he’s hungry,—he would rather have",2
41,"while i, ... i built up follies like a wall",0
42,"and then he shut his little eyes,",2
43,"ah, what a pang of aching sharp surprise",0
44,"and gladys said,",2
45,"peep timidly from out its nest,",2
46,the oriole's fledglings fifty times,2
47,the hostile cohorts melt away;,3
48,"and the old swallow-haunted barns,--",0
49,"from god's design, with threads of rain!",2
50,"how over, though, for even me who knew",2
51,"warped into adamantine fretwork, hung",2
52,wilt thou forget the love that joined us here?,2
53,"the which she bearing home it burned her nest,",0
54,have roughened in the gales!,2
55,"pilgrim and soldier, saint and sage,",2
56,down in the west upon the ocean floor,2
57,"""what did you hear, for instance?"" willis said.",2
58,should favour equal to the sons of heaven:,2
59,"some, not so large, in rings,--",2
60,"the crown of sorrow on their heads, their loss",0
61,"the eternal law,",2
62,and lips where heavenly smiles would hang and blend,1
63,"we're a band!"" said the weary big dragoon.",2
64,fu' to ba' de battle's brunt.,2
65,"and brief related whom they brought, wher found,",2
66,i lay and watched the lonely gloom;,0
67,honour to the bugle-horn!,1
68,"a sceptre,--monstrous, winged, intolerable.",0
69,"max laid his hand upon the old man's arm,",2
70,"when on the boughs the purple buds expand,",2
71,if the pure and holy angels,1
72,endymion would have passed across the mead,2
73,upon the thought of perfect noon. and when,1
74,thy hands all cunning arts that women prize.,1
75,"reasoning to admiration, and with mee",1
76,while the rude winds blow off each shadowy crown.,0
77,"the former, as the slacken’d reins he drew",2
78,"she falls back from the freedom she had hoped.""",2
79,"then--i would gather it, to thee unaware,",2
80,"amidst the gold and the purple, and the pillows of his bed:",2
81,"all hastening onward, yet none seemed to know",2
82,the wheat-blade whispers of the sheaf.,2
83,"but o, nevermore can we prison him tight.",0
84,"under these leafy vaults and walls,",2
85,"(distinctly here the spirit sneezed,)",2
86,it shines superior on a throne of gold:,1
87,around it cling.,2
88,"may meditate a whole youth's loss,",0
89,"i'm safe enlisted fer the war,",2
90,"whom phoebus taught unerring prophecy,",2
91,"when thee, the eyes of that harsh long ago",0
92,"flutter,",2
93,a way that safely will my passage guide.”,2
94,and breaths were gathering sure,2
95,"you have done this, says one judge; done that, says another;",2
96,in their archetypes endure.,2
97,"returne, the starres of morn shall see him rise",2
98,"brown-gabled, long, and full of seams",2
99,"the foes inclosing, and his friend pursued,",0
100,the tribute of this verse.,2
101,"take the warm welcome of new friends with thee,",1
102,"augmented, sweet, a hundred fold",1
103,in some lady's gyahden.,2
104,and bow to dread inquisitor and worship lords of dust;,0
105,its temples and its palaces did seem,2
106,"but i, or any demmercrat, feels comf'table to stan' on,",2
107,"miles off, three dangerous miles, is home;",0
108,every day a rich reward will give;,1
109,"else, suffer’d, it will set the heart on fire,",0
110,"who, never looking forward, are indeed",2
111,gay little heart!,1
112,"while from his hand i squeeze the golden prize,",2
113,"among the sources of thy glorious streams,",1
114,as when i read in god's own holy book.,2
115,"and while before me, spotted with white sails,",2
116,yet that whip's name too noble,2
117,"i'm comin', ed.",2
118,"what gods, what madness, hither steer’d your course?",0
119,"and raised their eyes above,",2
120,it spoils me for the smiling of the rest’—,1
121,"yearns to its source. the spirit thirsts for god,",2
122,that wisdom's lips seemed borrowing friendship's heart.,1
123,the oil upon the puddles dries,2
124,snows hide his shoulders; from beneath his chin,2
125,when the glance hast lost its beam;,0
126,"best gems of nature's cabinet,",1
127,"as round some giant hive, all day and night,",2
128,"whether they met on festal eve, in field,",2
129,"who cometh over the hills,",2
130,"in the shadow of the shores; as dead leaves wake,",0
131,touch it: the marble eyelids are not wet--,2
132,"oh, say, is he, the eternal, there?",2
133,the blessed memory of thy worth,1
134,"from his own tripod, and his holy tree;",2
135,i sate down beneath the beech,2
136,a million torches lighted by thy hand,1
137,thy sleep makes ridiculous.,0
138,whose potent unity and concentric force,1
139,of peace? it is thy father's name. thy life,2
140,"now, if thou art a poet, tell me not",2
141,"who stood in expectation by,",2
142,"mine eyes were of their madness half beguiled,",0
143,"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",2
144,you sha' n't roll yo' eyes at me.,0
145,case dey nevah tech a drouf.,2
146,it will be spring again.,2
147,"mine are calm and tranquil days,",1
148,sang as little children sing;,2
149,the things it wrought on; i believe,2
150,"from flight, seditious angel, to receave",0
151,"what once has been and ne'er shall be again,",2
152,"sky, marsh, my soul, and yonder sail.",2
153,"thy merited reward, the first assay",1
154,"except in france; and when it’s found in france,",2
155,for the greek must ask elsewhere.,2
156,whose anvil's even din,2
157,"that truthful teacup, our dictator, knows;",2
158,when hills are free from snow,2
159,"uttering bare truth, even so as foes commend.",1
160,"endu'd with human voice and human sense,",2
161,whatever anybody had,2
162,"is passed, and our aereal speed suspended.",2
163,"afar the melancholy thunder moaned,",0
164,"their hate, and selfishness, and pride!",0
165,"i would don my hose of homespun gray,",2
166,an hundred silken cords are set,2
167,i have lost the urban ways.,2
168,"and sorrowful to-day, thy children set",0
169,"or by some cabin door, a bush",2
170,was freedom's home or glory's grave!,3
171,save for a cry that echoes shrill,0
172,"with its close-curling gold, and love revived.",1
173,a golden helm his front and head surrounds,2
174,"but, through the war-cloud, pray to thee",3
175,"swing, like a ship at anchor, roun' my base,",2
176,for peace or rest too well he saw,2
177,from her stately place on high.,1
178,that passed with you and me.--,2
179,sweet hope!,1
180,"for high, and yet more high, the murmurs swell",2
181,"let those whom nature hath not made for store,",2
182,"said, `pass not, so cold, these manifold",2
183,the adulterate death of lucrece and her groom.,0
184,whilst this....,2
185,"""the snow that husheth all,",2
186,"then pausing, thus his prophecy renews:",2
187,to accomplish suicide.,0
188,early or late? or shall that commonwealth,2
189,"he plays a little, sings a song,",2
190,"each by his fiery torture howl and rave,",0
191,"and twitter, and again are still.",2
192,my daily thoughts perpetual converse held,2
193,"yon trunk had thrice a hundred rings,",2
194,is lovely round; a beautiful river there,1
195,"take heed (dear heart) of this large privilege,",1
196,at once comes tumbling down the rocky wall;,0
197,"sat mournfully guarding their corpses there,",0
198,low in supplication bending.,2
199,twas when you stole my maidenhead;,0
200,"""sorry?  of course you are, though you compress,",2
201,i would not live alway,2
202,"the king ordains their entrance, and ascends",1
203,very sleepy with the silence.,2
204,which clanged along the mountain's marble brow--,2
205,"it steam in winter like an ox's breath,",2
206,"in prosperous days. like a dim, waning lamp",3
207,jarr'd his own golden region; and before,2
208,"flood his black hearthstone till its flames expire,",0
209,when high i heap it with the weed,2
210,the climax of those hopes and duties dear,1
211,wait his returning strength.,2
212,"strove to raise itself in blessing,",1
213,nile shall pursue his changeless way:,2
214,i must be home by noon-time with the cart.',2
215,both the unseen and the seen;,2
216,the poet comes the last!,2
217,with many sighs;,2
218,"where, all the long and lone daylight,",2
219,full of the calm that cometh after sleep:,1
220,"men said, into a smile which guile portended,",0
221,"still sigurd rides with the brethren, as oft in the other days,",2
222,was she not somewhat that he could not rule,2
223,"gnossian his shafts, and lycian was his bow:",2
224,"you didn't stop for fuss,--",2
225,"deaf, and dumb, and blind, and cold,",0
226,i'm here--so far--and starting on again.,2
227,"a different man was brother timothy,",2
228,see! neptune’s altars minister their brands:,2
229,"to match your wit against the maker's will,",2
230,"absently fingering and touching it,",2
231,three hours the first november dawn,2
232,ran ever clearer speech than that did run,1
233,"""i say it's someone passing.""",2
234,"the visual nerve is withered to the root,",0
235,"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",3
236,"there is nothing to hope for, i am tired,",0
237,"i left the place with all my might, --",2
238,"let dat cradle swing,",2
239,he has no calling and he owns no trade.,2
240,"as they were loosened by that hermit old,",2
241,"then rose they up around him,",2
242,but because she stept to her star right on through death,3
243,an' see a hundred hills like islan's,2
244,and i am still the same;,2
245,misnames as the dog rosey now.,2
246,have seen the danger which i dared not look,0
247,"and hoping chink, she talked of morts of luck:",2
248,"the meadows mine, the mountains mine, --",2
249,since ferdinand and you begun,2
250,i'm always thinkin' long.,2
251,"ho! philip, send, for charity, thy mexican pistoles,",2
252,on to their shining goals:--,1
253,glory might burst on us!,1
254,"what's de use o' gittin' mopy,",2
255,"yet by experience taught we know how good,",2
256,all foredoomed to melt away;,0
257,as if she were a woman. we who have clipt,2
258,"it would be different if more people came,",2
259,"plucked from the death, wilt thou repay me thus?",3
260,"a spirit of unresting flame,",1
261,"the present is enough, for common souls,",2
262,"hear its low inward singing,",2
263,"be sure to read it rightly. so, i mused",2
264,and keep my senses straightened,2
265,three trojans tug at ev’ry lab’ring oar;,2
266,"mind us of like repose, since god hath set",2
267,lift their blue woods in broken chain,2
268,in nothing is wanting;,2
269,but thrown in a heap with a crush and a clatter;,0
270,"and kissed him with a sister's kiss,",2
271,"""thou of the god-lent crown,",2
272,like pageantry of mist on an autumnal stream.,2
273,"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",2
274,or the bolder art essaying,2
275,"thither, if but to prie, shall be perhaps",2
276,o'er sweet profounds where only love can see.,1
277,"he smell de bacon cookin', an' he hyeah de fiah hum;",2
278,came in slow pomp;--the moving pomp might seem,2
279,"with peace and soft rapture shall teach life to glow,",1
280,but thy tranquil waters teach,1
281,"smoothing the clustered hair, and parting it",2
282,"in all that clang and hewing out of men,",2
283,"her scutcheon shows white with a blazon of red,--",2
284,"looks, and is dumb with awe;",3
285,"then oer the rushes flies again,",2
286,"a thousand rubs had flattened down each little cherub's nose,",2
287,"a fragrance from the cedars, thickly set",2
288,of bright and dark obscurity;,3
289,"science and song, and all the arts that please;",1
290,"you turn, o jeanne, on our mystery",2
291,a graciousness in giving that doth make,1
292,most beauteous isadore!,1
293,whose instinct was to listen and obey.,2
294,but homesick tears would fill the eyes,0
295,"already, land! thou hast declared:  'tis done.",1
296,with war unhop’d the latians to surprise?,2
297,"the eyes beside had wrung them dry,",2
298,tis the chronicle of art.,2
